Speckled dace Weber R 34a_resized_color_corrected.png.dat
Speckled dace Weber R 20b_resized_color_corrected.png.dat
speckled dace Weber R 59a_resized_color_corrected.png.dat
Speckled dace Weber R 42a_resized_color_corrected.png.dat
Speckled dace Weber R 17a_resized_color_corrected.png.dat
speckled dace Weber R 56a_resized_color_corrected.png.dat
DSCN1919_resized_color_corrected.png.dat
DSCN1968_resized_color_corrected.png.dat
DSCN1941_resized_color_corrected.png.dat
speckled dace Weber R 57a_resized_color_corrected.png.dat
speckled dace Weber R 53a_resized_color_corrected.png.dat
DSCN1971_resized_color_corrected.png.dat
Speckled dace Weber R 16a_resized_color_corrected.png.dat
DSCN1938_resized_color_corrected.png.dat
Speckled dace Weber R 25a_resized_color_corrected.png.dat
Speckled dace Weber R 38a_resized_color_corrected.png.dat
DSCN1949_resized_color_corrected.png.dat
DSCN1923_resized_color_corrected.png.dat
Speckled dace Weber R 9a_resized_color_corrected.png.dat
Speckled dace Weber R 44a_resized_color_corrected.png.dat
Speckled dace Weber R 28a_resized_color_corrected.png.dat
Speckled dace Weber R 5b_resized_color_corrected.png.dat
speckled dace Weber R 58a_resized_color_corrected.png.dat
DSCN1934_resized_color_corrected.png.dat
Speckled dace Weber R 2b_resized_color_corrected.png.dat
Speckled dace Weber R 45a_resized_color_corrected.png.dat
Speckled dace Weber R 10b_resized_color_corrected.png.dat
Speckled dace Weber R 22b_resized_color_corrected.png.dat
DSCN1961_resized_color_corrected.png.dat
Speckled dace Weber R 28b_resized_color_corrected.png.dat
Speckled dace Weber R 6a_resized_color_corrected.png.dat
Speckled dace Weber R 40a_resized_color_corrected.png.dat
DSCN1960_resized_color_corrected.png.dat
DSCN1945_resized_color_corrected.png.dat
speckled dace Weber R 60a_resized_color_corrected.png.dat
Speckled dace Weber R 8b_resized_color_corrected.png.dat
speckled dace Weber R 55a_resized_color_corrected.png.dat
DSCN1954_resized_color_corrected.png.dat
DSCN1940_resized_color_corrected.png.dat
